,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
114,Finland,Female,6.411,7.246,7.12,6.793,5.944,4.872,5.933,5.818,5.347,5.069,5.277
115,Finland,Male,7.469,7.804,7.347,7.261,6.161,5.643,6.065,6.898,6.121,6.479,6.588
116,France,Female,8.752,8.587,8.476,8.254,8.054,7.387,6.8,6.573,6.17,5.997,5.987
117,France,Male,8.944,9.161,8.703,7.965,7.579,7.143,6.783,6.671,6.109,6.063,5.96
118,French Polynesia,Female,7.913,7.865,7.89,7.953,8.057,8.166,8.984,8.965,8.61,8.531,8.473
119,French Polynesia,Male,7.129,7.054,7.037,7.057,7.117,7.185,8.227,8.051,7.568,7.466,7.383
120,Gabon,Female,26.326,26.479,26.823,27.184,27.473,27.339,28.379,28.504,27.669,27.464,27.326
121,Gabon,Male,12.316,12.417,12.596,12.785,12.936,12.873,13.736,13.738,13.012,12.704,12.532
122,The Gambia,Female,8.349,6.835,5.3,3.589,2.038,1.991,2.225,2.306,2.14,2.071,2.027
123,The Gambia,Male,5.686,5.376,5.055,4.514,4.101,3.997,4.849,4.837,4.268,4.139,4.047
124,Georgia,Female,12.956,11.761,11.173,11.118,9.304,8.513,8.63,8.808,8.683,8.729,8.865
125,Georgia,Male,16.987,16.599,17.817,13.603,12.426,10.983,11.059,11.277,11.18,11.216,11.387
126,Germany,Female,4.354,3.968,3.484,3.047,2.673,2.517,3.085,2.881,2.622,2.509,2.595
127,Germany,Male,4.925,4.643,4.076,3.744,3.421,3.142,3.847,3.589,3.0,2.818,3.002
128,Ghana,Female,3.215,4.918,4.076,2.887,2.785,2.711,2.796,2.999,3.052,3.074,3.084
129,Ghana,Male,3.118,5.105,3.994,2.493,2.395,2.325,2.573,2.736,2.645,2.683,2.698
130,Greece,Female,28.475,27.33,26.657,24.553,22.901,20.286,18.256,17.699,15.042,13.14,11.78
131,Greece,Male,22.08,20.221,18.336,16.412,14.02,12.649,12.277,10.175,8.291,7.24,6.597
132,Guam,Female,4.759,4.328,3.393,3.416,3.441,3.422,3.858,3.861,3.59,3.584,3.571
133,Guam,Male,6.169,5.619,4.412,4.44,4.478,4.445,5.268,5.082,4.655,4.643,4.611
134,Guatemala,Female,1.578,1.273,1.72,2.004,1.389,1.977,2.602,2.015,2.861,3.105,3.155
135,Guatemala,Male,1.443,1.209,1.159,1.195,1.305,0.986,1.81,1.343,1.375,1.41,1.374
136,Guinea,Female,4.151,4.371,4.141,3.949,3.948,4.296,4.955,5.088,4.805,4.722,4.687
137,Guinea,Male,5.215,5.371,4.946,4.588,4.476,4.777,5.97,5.802,5.321,5.19,5.125
138,Guinea-Bissau,Female,2.46,2.36,2.325,2.267,2.329,2.355,2.54,2.761,2.375,2.285,2.245
